id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
171;100034;VK3;1;beliebig;2,5;;0;0;+;19
172;100034;VK4;1;beliebig;3;;0;0;+;19
173;100034;VK_DP;1;beliebig;2;;0;0;+;19
174;100035;VK1;1;beliebig;3;;0;0;+;19
175;100035;VK2;1;beliebig;2,3;;0;0;+;19
176;100035;VK3;1;beliebig;4;;0;0;+;19
177;100035;VK4;1;beliebig;4,5;;0;0;+;19
178;100035;VK_DP;1;beliebig;3,5;;0;0;+;19
179;100036;VK1;1;beliebig;13;;0;0;+;19
180;100036;VK3;1;beliebig;15,5;;0;0;+;19
181;100036;VK4;1;beliebig;19;;0;0;+;19
182;100037;VK1;1;beliebig;10,3;;0;0;+;19
183;100037;VK3;1;beliebig;12,5;;0;0;+;19
184;100037;VK4;1;beliebig;15;;0;0;+;19
185;100038;VK1;1;beliebig;6,5;;0;0;+;19
186;100038;VK3;1;beliebig;8;;0;0;+;19
187;100038;VK4;1;beliebig;9,5;;0;0;+;19
188;100039;VK1;1;beliebig;12;;0;0;+;19
189;100039;VK2;1;beliebig;9,8;;0;0;+;19
190;100039;VK3;1;beliebig;14,5;;0;0;+;19
191;100039;VK4;1;beliebig;17,5;;0;0;+;19
192;100039;VK_DP;1;beliebig;14;;0;0;+;19
193;100040;VK1;1;beliebig;12;;0;0;+;19
194;100040;VK2;1;beliebig;9,8;;0;0;+;19
195;100040;VK3;1;beliebig;14,5;;0;0;+;19
196;100040;VK4;1;beliebig;17,5;;0;0;+;19
197;100040;VK_DP;1;beliebig;14;;0;0;+;19
198;100041;VK1;1;beliebig;12;;0;0;+;19
199;100041;VK2;1;beliebig;9,8;;0;0;+;19
200;100041;VK3;1;beliebig;14,5;;0;0;+;19
201;100041;VK4;1;beliebig;17,5;;0;0;+;19
202;100041;VK_DP;1;beliebig;14;;0;0;+;19
203;100042;VK1;1;beliebig;5,2;;0;0;+;19
204;100042;VK3;1;beliebig;6,5;;0;0;+;19
205;100042;VK4;1;beliebig;7,5;;0;0;+;19
206;100043;VK1;1;beliebig;5;;0;0;+;19
207;100043;VK3;1;beliebig;6;;0;0;+;19
208;100043;VK4;1;beliebig;7,5;;0;0;+;19
209;100044;VK1;1;beliebig;5,5;;0;0;+;19
210;100044;VK3;1;beliebig;6,5;;0;0;+;19
211;100044;VK4;1;beliebig;8;;0;0;+;19
212;100045;VK1;1;beliebig;8;;0;0;+;19
213;100045;VK3;1;beliebig;9,5;;0;0;+;19
214;100045;VK4;1;beliebig;11,5;;0;0;+;19
215;100046;VK1;1;beliebig;16;;0;0;+;19
216;100046;VK3;1;beliebig;19;;0;0;+;19
217;100046;VK4;1;beliebig;23;;0;0;+;19
218;100047;VK1;1;beliebig;0,5;;0;0;+;19
219;100047;VK2;1;beliebig;0,5;;0;0;+;19
220;100047;VK3;1;beliebig;1;;0;0;+;19
221;100047;VK4;1;beliebig;1;;0;0;+;19
222;100047;VK_DP;1;beliebig;1;;0;0;+;19
223;100048;VK1;1;beliebig;26,5;;0;0;+;19
224;100048;VK2;1;beliebig;15,75;;0;0;+;19
225;100048;VK3;1;beliebig;31,5;;0;0;+;19
226;100048;VK4;1;beliebig;38;;0;0;+;19
227;100048;VK_DP;1;beliebig;22,5;;0;0;+;19
228;100049;VK1;1;beliebig;15;;0;0;+;19
229;100049;VK2;1;beliebig;11,6;;0;0;+;19
230;100049;VK3;1;beliebig;18;;0;0;+;19
231;100049;VK4;1;beliebig;21,5;;0;0;+;19
232;100049;VK_DP;1;beliebig;17;;0;0;+;19
233;100050;VK1;1;beliebig;6,5;;0;0;+;19
234;100050;VK2;1;beliebig;5,35;;0;0;+;19
235;100050;VK3;1;beliebig;8;;0;0;+;19
236;100050;VK4;1;beliebig;9,5;;0;0;+;19
237;100050;VK_DP;1;beliebig;8;;0;0;+;19
238;100051;VK1;1;beliebig;15;;0;0;+;19
239;100051;VK2;1;beliebig;15,15;;0;0;+;19
240;100051;VK3;1;beliebig;18;;0;0;+;19
241;100051;VK4;1;beliebig;21,5;;0;0;+;19
242;100051;VK_DP;1;beliebig;22;;0;0;+;19
243;100052;VK1;1;beliebig;21;;0;0;+;19
244;100052;VK2;1;beliebig;16,9;;0;0;+;19
245;100052;VK3;1;beliebig;25;;0;0;+;19
246;100052;VK4;1;beliebig;30;;0;0;+;19
247;100052;VK_DP;1;beliebig;24,5;;0;0;+;19
248;100053;VK1;1;beliebig;1,5;;0;0;+;19
249;100053;VK2;1;beliebig;1,8;;0;0;+;19
250;100053;VK3;1;beliebig;2;;0;0;+;19
251;100053;VK4;1;beliebig;2,5;;0;0;+;19
252;100053;VK_DP;1;beliebig;3;;0;0;+;19
253;100054;VK1;1;beliebig;37,4;;0;0;+;19
254;100054;VK3;1;beliebig;44;;0;0;+;19
255;100054;VK4;1;beliebig;53,5;;0;0;+;19
256;100055;VK1;1;beliebig;38;;0;0;+;19
257;100055;VK2;1;beliebig;34,3;;0;0;+;19
258;100055;VK3;1;beliebig;45;;0;0;+;19
259;100055;VK4;1;beliebig;54,5;;0;0;+;19
260;100055;VK_DP;1;beliebig;49;;0;0;+;19
261;100056;VK1;1;beliebig;38;;0;0;+;19
262;100056;VK2;1;beliebig;35,4;;0;0;+;19
263;100056;VK3;1;beliebig;45;;0;0;+;19
264;100056;VK4;1;beliebig;54,5;;0;0;+;19
265;100056;VK_DP;1;beliebig;51;;0;0;+;19
266;100057;VK1;1;beliebig;38;;0;0;+;19
267;100057;VK2;1;beliebig;37,1;;0;0;+;19
268;100057;VK3;1;beliebig;45;;0;0;+;19
269;100057;VK4;1;beliebig;54,5;;0;0;+;19
270;100057;VK_DP;1;beliebig;53,5;;0;0;+;19
271;100058;VK1;1;beliebig;41,5;;0;0;+;19
272;100058;VK2;1;beliebig;43,3;;0;0;+;19
273;100058;VK3;1;beliebig;49;;0;0;+;19
274;100058;VK4;1;beliebig;59,5;;0;0;+;19
275;100058;VK_DP;1;beliebig;62;;0;0;+;19
276;100059;VK1;1;beliebig;45,5;;0;0;+;19
277;100059;VK2;1;beliebig;45,4;;0;0;+;19
278;100059;VK3;1;beliebig;54;;0;0;+;19
279;100059;VK4;1;beliebig;65,5;;0;0;+;19
280;100059;VK_DP;1;beliebig;65;;0;0;+;19
281;100060;VK1;1;beliebig;48;;0;0;+;19
282;100060;VK2;1;beliebig;46,65;;0;0;+;19
283;100060;VK3;1;beliebig;56,5;;0;0;+;19
284;100060;VK4;1;beliebig;69;;0;0;+;19
285;100060;VK_DP;1;beliebig;67;;0;0;+;19
286;100061;VK1;1;beliebig;52;;0;0;+;19
287;100061;VK2;1;beliebig;49,95;;0;0;+;19
288;100061;VK3;1;beliebig;61,5;;0;0;+;19
289;100061;VK4;1;beliebig;74,5;;0;0;+;19
290;100061;VK_DP;1;beliebig;71,5;;0;0;+;19
291;100062;VK1;1;beliebig;24,5;;0;0;+;19
292;100062;VK2;1;beliebig;21,35;;0;0;+;19
293;100062;VK3;1;beliebig;29;;0;0;+;19
294;100062;VK4;1;beliebig;35;;0;0;+;19
295;100062;VK_DP;1;beliebig;30,5;;0;0;+;19
296;100063;VK1;1;beliebig;24,5;;0;0;+;19
297;100063;VK2;1;beliebig;21,35;;0;0;+;19
298;100063;VK3;1;beliebig;29;;0;0;+;19
299;100063;VK4;1;beliebig;35;;0;0;+;19
300;100063;VK_DP;1;beliebig;30,5;;0;0;+;19
301;100064;VK1;1;beliebig;24,5;;0;0;+;19
302;100064;VK2;1;beliebig;21,35;;0;0;+;19
303;100064;VK3;1;beliebig;29;;0;0;+;19
304;100064;VK4;1;beliebig;35;;0;0;+;19
305;100064;VK_DP;1;beliebig;30,5;;0;0;+;19
306;100065;VK1;1;beliebig;24,5;;0;0;+;19
307;100065;VK2;1;beliebig;21,35;;0;0;+;19
308;100065;VK3;1;beliebig;29;;0;0;+;19
309;100065;VK4;1;beliebig;35;;0;0;+;19
310;100065;VK_DP;1;beliebig;30,5;;0;0;+;19
311;100066;VK1;1;beliebig;24,5;;0;0;+;19
312;100066;VK2;1;beliebig;21,35;;0;0;+;19
313;100066;VK3;1;beliebig;29;;0;0;+;19
314;100066;VK4;1;beliebig;35;;0;0;+;19
315;100066;VK_DP;1;beliebig;30,5;;0;0;+;19
316;100067;VK1;1;beliebig;46;;0;0;+;19
317;100067;VK2;1;beliebig;41,3;;0;0;+;19
318;100067;VK3;1;beliebig;54,5;;0;0;+;19
319;100067;VK4;1;beliebig;66;;0;0;+;19
320;100067;VK_DP;1;beliebig;59,5;;0;0;+;19
321;100068;VK1;1;beliebig;46;;0;0;+;19
322;100068;VK2;1;beliebig;41,3;;0;0;+;19
323;100068;VK3;1;beliebig;54,5;;0;0;+;19
324;100068;VK4;1;beliebig;66;;0;0;+;19
325;100068;VK_DP;1;beliebig;59,5;;0;0;+;19
326;100069;VK1;1;beliebig;46;;0;0;+;19
327;100069;VK2;1;beliebig;41,3;;0;0;+;19
328;100069;VK3;1;beliebig;54,5;;0;0;+;19
329;100069;VK4;1;beliebig;66;;0;0;+;19
330;100069;VK_DP;1;beliebig;59,5;;0;0;+;19
331;100070;VK1;1;beliebig;46;;0;0;+;19
332;100070;VK2;1;beliebig;41,3;;0;0;+;19
333;100070;VK3;1;beliebig;54,5;;0;0;+;19
334;100070;VK4;1;beliebig;66;;0;0;+;19
335;100070;VK_DP;1;beliebig;59,5;;0;0;+;19
336;100071;VK1;1;beliebig;46;;0;0;+;19
337;100071;VK2;1;beliebig;41,3;;0;0;+;19
338;100071;VK3;1;beliebig;54,5;;0;0;+;19
339;100071;VK4;1;beliebig;66;;0;0;+;19
340;100071;VK_DP;1;beliebig;59,5;;0;0;+;19
341;100072;VK1;1;beliebig;46;;0;0;+;19
342;100072;VK2;1;beliebig;41,3;;0;0;+;19
343;100072;VK3;1;beliebig;54,5;;0;0;+;19
344;100072;VK4;1;beliebig;66;;0;0;+;19
345;100072;VK_DP;1;beliebig;59,5;;0;0;+;19
