id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
24075;104034;H08;1;beliebig;2,85;;0;0;+;19
24076;104034;H15;1;beliebig;2,64;;0;0;+;19
24077;104034;H20;1;beliebig;2,48;;0;0;+;19
24078;104034;H33;1;beliebig;2,08;;0;0;+;19
24079;104035;EK;1;beliebig;13,99;;0;0;I;19
24080;104035;H05;1;beliebig;11,17;;0;0;+;19
24081;104035;H08;1;beliebig;10,82;;0;0;+;19
24082;104035;H15;1;beliebig;9,99;;0;0;+;19
24083;104035;H20;1;beliebig;9,41;;0;0;+;19
24084;104035;H33;1;beliebig;7,88;;0;0;+;19
24085;104036;EK;1;beliebig;57,99;;0;0;I;19
24086;104036;H05;1;beliebig;46,29;;0;0;+;19
24087;104036;H08;1;beliebig;44,83;;0;0;+;19
24088;104036;H15;1;beliebig;41,42;;0;0;+;19
24089;104036;H20;1;beliebig;38,98;;0;0;+;19
24090;104036;H33;1;beliebig;32,65;;0;0;+;19
24091;104037;EK;1;beliebig;6,29;;0;0;I;19
24092;104037;H05;1;beliebig;5,02;;0;0;+;19
24093;104037;H08;1;beliebig;4,86;;0;0;+;19
24094;104037;H15;1;beliebig;4,49;;0;0;+;19
24095;104037;H20;1;beliebig;4,23;;0;0;+;19
24096;104037;H33;1;beliebig;3,54;;0;0;+;19
24097;104038;EK;1;beliebig;5,49;;0;0;I;19
24098;104038;H05;1;beliebig;4,38;;0;0;+;19
24099;104038;H08;1;beliebig;4,24;;0;0;+;19
24100;104038;H15;1;beliebig;3,92;;0;0;+;19
24101;104038;H20;1;beliebig;3,69;;0;0;+;19
24102;104038;H33;1;beliebig;3,09;;0;0;+;19
24103;104039;EK;1;beliebig;3,95;;0;0;I;19
24104;104039;H05;1;beliebig;3,15;;0;0;+;19
24105;104039;H08;1;beliebig;3,05;;0;0;+;19
24106;104039;H15;1;beliebig;2,82;;0;0;+;19
24107;104039;H20;1;beliebig;2,66;;0;0;+;19
24108;104039;H33;1;beliebig;2,22;;0;0;+;19
24109;104040;EK;1;beliebig;3,99;;0;0;I;19
24110;104040;H05;1;beliebig;3,19;;0;0;+;19
24111;104040;H08;1;beliebig;3,08;;0;0;+;19
24112;104040;H15;1;beliebig;2,85;;0;0;+;19
24113;104040;H20;1;beliebig;2,68;;0;0;+;19
24114;104040;H33;1;beliebig;2,25;;0;0;+;19
24115;104041;EK;1;beliebig;7,49;;0;0;I;19
24116;104041;H05;1;beliebig;5,98;;0;0;+;19
24117;104041;H08;1;beliebig;5,79;;0;0;+;19
24118;104041;H15;1;beliebig;5,35;;0;0;+;19
24119;104041;H20;1;beliebig;5,04;;0;0;+;19
24120;104041;H33;1;beliebig;4,22;;0;0;+;19
24121;104042;EK;1;beliebig;33,99;;0;0;I;19
24122;104042;H05;1;beliebig;27,13;;0;0;+;19
24123;104042;H08;1;beliebig;26,28;;0;0;+;19
24124;104042;H15;1;beliebig;24,28;;0;0;+;19
24125;104042;H20;1;beliebig;22,85;;0;0;+;19
24126;104042;H33;1;beliebig;19,14;;0;0;+;19
24127;104043;EK;1;beliebig;7,49;;0;0;I;19
24128;104043;H05;1;beliebig;5,98;;0;0;+;19
24129;104043;H08;1;beliebig;5,79;;0;0;+;19
24130;104043;H15;1;beliebig;5,35;;0;0;+;19
24131;104043;H20;1;beliebig;5,04;;0;0;+;19
24132;104043;H33;1;beliebig;4,22;;0;0;+;19
24133;104044;EK;1;beliebig;3,79;;0;0;I;19
24134;104044;H05;1;beliebig;3,03;;0;0;+;19
24135;104044;H08;1;beliebig;2,93;;0;0;+;19
24136;104044;H15;1;beliebig;2,71;;0;0;+;19
24137;104044;H20;1;beliebig;2,55;;0;0;+;19
24138;104044;H33;1;beliebig;2,13;;0;0;+;19
24139;104045;EK;1;beliebig;3,79;;0;0;I;19
24140;104045;H05;1;beliebig;3,03;;0;0;+;19
24141;104045;H08;1;beliebig;2,93;;0;0;+;19
24142;104045;H15;1;beliebig;2,71;;0;0;+;19
24143;104045;H20;1;beliebig;2,55;;0;0;+;19
24144;104045;H33;1;beliebig;2,13;;0;0;+;19
24145;104046;EK;1;beliebig;3,79;;0;0;I;19
24146;104046;H05;1;beliebig;3,03;;0;0;+;19
24147;104046;H08;1;beliebig;2,93;;0;0;+;19
24148;104046;H15;1;beliebig;2,71;;0;0;+;19
24149;104046;H20;1;beliebig;2,55;;0;0;+;19
24150;104046;H33;1;beliebig;2,13;;0;0;+;19
24151;104047;EK;1;beliebig;3,79;;0;0;I;19
24152;104047;H05;1;beliebig;3,03;;0;0;+;19
24153;104047;H08;1;beliebig;2,93;;0;0;+;19
24154;104047;H15;1;beliebig;2,71;;0;0;+;19
24155;104047;H20;1;beliebig;2,55;;0;0;+;19
24156;104047;H33;1;beliebig;2,13;;0;0;+;19
24157;104048;EK;1;beliebig;3,79;;0;0;I;19
24158;104048;H05;1;beliebig;3,03;;0;0;+;19
24159;104048;H08;1;beliebig;2,93;;0;0;+;19
24160;104048;H15;1;beliebig;2,71;;0;0;+;19
24161;104048;H20;1;beliebig;2,55;;0;0;+;19
24162;104048;H33;1;beliebig;2,13;;0;0;+;19
24163;104049;EK;1;beliebig;3,79;;0;0;I;19
24164;104049;H05;1;beliebig;3,03;;0;0;+;19
24165;104049;H08;1;beliebig;2,93;;0;0;+;19
24166;104049;H15;1;beliebig;2,71;;0;0;+;19
24167;104049;H20;1;beliebig;2,55;;0;0;+;19
24168;104049;H33;1;beliebig;2,13;;0;0;+;19
24169;104050;EK;1;beliebig;3,79;;0;0;I;19
24170;104050;H05;1;beliebig;3,03;;0;0;+;19
24171;104050;H08;1;beliebig;2,93;;0;0;+;19
24172;104050;H15;1;beliebig;2,71;;0;0;+;19
24173;104050;H20;1;beliebig;2,55;;0;0;+;19
24174;104050;H33;1;beliebig;2,13;;0;0;+;19
24175;104051;EK;1;beliebig;3,79;;0;0;I;19
24176;104051;H05;1;beliebig;3,03;;0;0;+;19
